ID,Código,Descrição,Unidade,NCM,Preço de compra final,Situação,Estoque,Preço de custo,Fornecedor,Estoque minimo,Largura do Produto,Altura do Produto,Profundidade do produto,Código Pai,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Frete Grátis,Número FCI,Unidade de medida
16524919820,492,G Roupa Doripel Panama 4pt 3gv C/ Espelho Salvados,UN,,549,Ativo,-2,"221,64",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16470930013,85,G Roupa Doripel Rosario 4pt 2gv,UN,,549,Ativo,0,0,,0,0.00,0.00,0.00,	,,,,0,,0,	,,,NÃO,NÃO,,Centímetro
16521586062,481,G Roupa Doripel Rosario 4pt 2gv,UN,,399,Ativo,0,"130,9",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16556954959,607,G Roupa Doripel Rosario 4pt 2gv Salvados,un,,399,Ativo,0,"130,9",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16563283372,616,G Roupa Doripel Santiago 6pt 2gv,UN,,749,Ativo,0,"227,96",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16597939504,711,G Roupa Europa Potente 6pt 6gv,UN,,"1.999,00",Ativo,0,"599,03",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16554190506,602,G Roupa Evidencia Atalaia 4pt 2gv salvados,un,,499,Ativo,0,"155,54",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16549908598,580,G Roupa Faimec Europa 3pt 3gv C/Espelho Salvados,un,,549,Ativo,-2,"176,72",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16534332866,546,G Roupa Faimec Fortaleza 6pt 2gv Rip,un,,999,Ativo,0,"272,13",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16473171369,93,G Roupa Faimec Laguna 5pt 1gv SALVADOS,UN,,449,Ativo,-10,"120,92",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16560045681,611,G Roupa Faimec Monaco 7pt 2gv C/Esp SALVADOS,UN,,"1.299,00",Ativo,0,"408,42",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16581048987,651,G Roupa Made Marcs Lugano 2pt 4gv Rip 1esp Salvados,UN,,"1.399,00",Ativo,-1,"456,6",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16618521641,750,G Roupa Maxel Cannes 6pt 6gv,UN,,"1.299,00",Ativo,2,"415,25",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16505793929,371,G Roupa Maxel San Marino 3pt 2gv C/Esp Flex Salvados,UN,,799,Ativo,-4,"266,86",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16468685757,16,G Roupa Maxel San Marino 3pt 2gv Flex Salvados,UN,,700,Ativo,-5,"266,86",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16599222676,722,G ROUPA MODULADO CARIOCA BELEM  salvados,un,,649,Ativo,-1,392,salvados,0,3.00,3.00,3.00,	,,3,,0,<p>343</p>,0,	,,0,NÃO,NÃO,,Centímetro
16506135588,374,G Roupa Modulado Luciane Master 3pt 2gv,UN,,799,Ativo,0,"261,76",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16495962767,298,G Roupa Moval Araguaia 6pt 4gv Rip Cesp,UN,,"1.999,00",Ativo,0,850,salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16611457030,740,G Roupa Moval Araguaia 6pt 4gv Rip Cesp SALVADOS,,,"1.899,00",Ativo,-1,"640,5",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16594828113,689,G Roupa Moval Colorado 2pt 3gv branco avariado SALVADOS,UN,,"1.099,00",Ativo,1,"338,24",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16585260012,664,G Roupa Moval Colorado 2pt 3gv SALVADOS,UN,,"1.499,00",Ativo,-2,"486,49",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16552547780,593,G Roupa Moval Panama 6pt 2gv,un,,599,Ativo,0,"200,78",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16585353660,667,G ROUPA NOTAVEL NT5015 4PT 3GV NT5015.454534 Freijo Trend/Off White,UN,,599,Ativo,-2,"163,14",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16588672880,674,G ROUPA NOTAVEL NT6010 4PT 2GV NT6010.753292 Freijo Trend/Off White TX,UN,,399,Ativo,0,"94,63",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16472966722,91,G Roupa Rufato Grecia 6pt 2gv SALVADOS,UN ,,"1.029,00",Ativo,0,0,,0,0.00,0.00,0.00,	,,,,0,,0,	,,,NÃO,NÃO,,Centímetro
16520064844,475,G Roupa Rufato Verona 6pt 2gv,UN,,"1.099,00",Ativo,0,"283,39",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
